Hortaliza,NombreCientifico,TempOptimaC,DiasEmergencia,Profundidad_cm,LuzRequerida,Notas,Fuentes
Acelga,Beta vulgaris var. cicla,15-25,7-10,2-3,Sol/Media Sombra,Remojar semillas 24hs antes,INTA ProHuerta
Ajo,Allium sativum,15-20,10-15,3-5,Sol,Plantar diente con punta arriba,"Manual Cultivos Andinos"
Albahaca,Ocimum basilicum,20-25,5-10,0.5,Sol,Sensible a heladas,"InfoAgro"
Apio,Apium graveolens,15-20,15-20,0.5,Sol,Riego constante requerido,"INTA"
Berenjena,Solanum melongena,25-30,7-14,0.5-1,Sol,Requiere calor constante,"ProHuerta"
Calabaza,Cucurbita moschata,20-30,5-10,2-3,Sol,Guía muy expansiva,"FAO Hortalizas"
Cebolla,Allium cepa,15-25,10-15,1-2,Sol,Suelo suelto y arenoso,"INTA"
Cilantro,Coriandrum sativum,15-20,7-14,1,Sol/Media Sombra,Puede subir a flor con calor,"Jardín Botánico"
Espinaca,Spinacia oleracea,10-20,7-14,1-2,Media Sombra,Prefiere frío,"ProHuerta"
Frutilla,Fragaria x ananassa,15-25,20-30,0.5,Sol,Requiere frío invernal,"INTA Famaillá"
Lechuga,Lactuca sativa,15-20,4-7,0.5,Media Sombra,Germina rápido; evitar calor extremo,"ProHuerta"
Maíz,Zea mays,20-30,5-10,3-5,Sol,Siembra directa en bloque,"INTA Pergamino"
Melón,Cucumis melo,25-30,5-10,2-3,Sol,Necesita mucho compost,"Huerta Orgánica"
Pepino,Cucumis sativus,20-30,3-7,2,Sol,Tutorar para mejores frutos,"ProHuerta"
Perejil,Petroselinum crispum,15-25,15-25,1,Media Sombra,Lenta germinación; paciencia,"INTA"
Pimiento,Capsicum annuum,20-30,10-15,0.5-1,Sol,Calor y riego regular,"INTA"
Poroto,Phaseolus vulgaris,20-25,7-10,3-5,Sol,Fijador de nitrógeno,"FAO"
Rabanito,Raphanus sativus,15-25,3-5,1,Sol/Media Sombra,Cosecha muy rápida (30 días),"ProHuerta"
Tomate,Solanum lycopersicum,20-25,5-10,0.5,Sol,Enterrar tallo al trasplantar,"INTA"
Zanahoria,Daucus carota,15-25,10-20,0.5-1,Sol,Suelo profundo sin piedras,"ProHuerta"
